iter	MultiClass
0	1.068387626
1	1.042568958
2	1.02089492
3	1.002055787
4	0.9827317037
5	0.9672422722
6	0.9541825531
7	0.9357931281
8	0.9241487255
9	0.9080593255
10	0.8959081807
11	0.8844542578
12	0.872109546
13	0.8609542942
14	0.8508292529
15	0.8425304769
16	0.8342696375
17	0.8243396423
18	0.8180665345
19	0.8129035305
20	0.8064196181
21	0.8000951112
22	0.7850964954
23	0.776461532
24	0.7680149914
25	0.7627605306226	0.7544660524227	0.7502797106228	0.746535752929	0.8718325255
30	0.8682760428
31	0.8638987648332	0.8625702728333	0.8597223083334	0.8557426549335	0.8532326421
36	0.8480304589
37	0.8466052077
38	0.8453321301
39	0.8437972022
40	0.8429504213
41	0.838799539
42	0.836459764
43	0.8324768578
44	0.8300854644
45	0.8278579916
46	0.8265156286
47	0.8248667234
48	0.8221540934
49	0.8207644903
50	0.8197897588
51	0.8180982505
52	0.8168580094
53	0.8154575454
54	0.8142189593
55	0.8137625486
56	0.8126143563
57	0.8119092409
58	0.8112475004
59	0.8104629526
60	0.809853012
61	0.8093060328
62	0.8088378298
63	0.8078259756
64	0.8066872228
65	0.8058626682
66	0.8048821137
67	0.803574918
68	0.8030342562
69	0.8020904866
70	0.8004582081
71	0.8001242124
72	0.79941712
73	0.7981867422
74	0.7965954919
75	0.7954045996
76	0.7947368227
77	0.7940734054
78	0.7934721666
79	0.7919379806
80	0.7907450546
81	0.7901244391
82	0.7896598634
83	0.7890538674
84	0.7887356428
85	0.7883870993
86	0.7874332854
87	0.7867490339
88	0.7864701158
89	0.7857385304
90	0.785184183
91	0.7842217235
92	0.7837833513
93	0.7832026115
94	0.7826855124
95	0.7813329627
96	0.78080552
97	0.7803417205
98	0.7801291091
99	0.7797655909
100	0.7787292364
101	0.7780476498
102	0.777517746
103	0.7767702785
104	0.7760118365
105	0.7755764747
106	0.7750846925
107	0.7747945225
108	0.7743934209
109	0.7738904273
110	0.7732874984
111	0.7728952983
112	0.7724609205
113	0.7720065224
114	0.7712703231
115	0.7704496317
116	0.7701288098
117	0.7692526164
118	0.7690111797
119	0.7685800835
120	0.7679641266
121	0.7675265481
122	0.7663463965
123	0.7660051964
124	0.7656275001
125	0.7649436089
126	0.7645297668
127	0.7642444941
128	0.7639952278
129	0.7636443057
130	0.7631092198
131	0.7627350695
132	0.7624245664
133	0.7620677189
134	0.761844845
135	0.7613259094
136	0.7605925857
137	0.7602814877
138	0.7598527226
139	0.7594488271
140	0.7588174825
141	0.7585028312
142	0.7577381041
143	0.7571186282
144	0.756917409
145	0.7558074494
146	0.7551334937
147	0.7546084519
148	0.7541847144
149	0.7538184732
150	0.7535385019
151	0.7533034217
152	0.7530639378
153	0.752768766
154	0.7525221594
155	0.7519705478
156	0.7512663015
157	0.7510768012
158	0.7504729981
159	0.7498995272
160	0.7493873636
161	0.7491155301
162	0.7488352043
163	0.7485299504
164	0.7482915188
165	0.7475911593
166	0.7467739194
167	0.7464933505
168	0.7460816793
169	0.7456774053
170	0.7453255093
171	0.7447060931
172	0.7440130757
173	0.743524383
174	0.7433017731
175	0.7430567287
176	0.7428449156
177	0.7425114328
178	0.7423463023
179	0.7421144188
180	0.7417553761
181	0.7415179516
182	0.7412608454
183	0.7409840138
184	0.7407472597
185	0.7404960519
186	0.7400574836
187	0.7398519457
188	0.7394787185
189	0.7392512809
190	0.7389913068
191	0.7388444929
192	0.7382110944
193	0.7380321235
194	0.7378067664
195	0.7375223469
196	0.7372264202
197	0.7369227448
198	0.736618312
199	0.7364954567
200	0.7361412305
201	0.7359052974
202	0.7352970118
203	0.734921341
204	0.7347523954
205	0.7346004204
206	0.7342631121
207	0.7339292582
208	0.7334941057
209	0.7331257621
210	0.7329067592
211	0.7327705529
212	0.7325267191
213	0.7322953022
214	0.731824042
215	0.7316358501
216	0.7314381274
217	0.7311981017
218	0.7310387461
219	0.7304280215
220	0.7301694659
221	0.7298845913
222	0.729255426
223	0.7290054363
224	0.72877257
225	0.7285422512
226	0.7283536399
227	0.7282030658
228	0.7279611607
229	0.7277128115
230	0.727488449
231	0.7273209773
232	0.7271110291
233	0.7269346925
234	0.72667864
235	0.7263854313
236	0.7261427499
237	0.7258506999
238	0.7255168928
239	0.7252348683
240	0.7251012171
241	0.7248678343
242	0.7246808949
243	0.724448091
244	0.7242891252
245	0.7238910068
246	0.7237063601
247	0.7235197578
248	0.7232421521
249	0.7230813762
250	0.7228254894
251	0.722656321
252	0.7224547668
253	0.7221445158
254	0.7218976044
255	0.7216486647
256	0.7213573192
257	0.7212120856
258	0.7210039102
259	0.7207878258
260	0.7205341275
261	0.7203393345
262	0.72017059
263	0.7199415906
264	0.7198004866
265	0.7195113559
266	0.7192360061
267	0.7187982007
268	0.71847239
269	0.7182305796
270	0.7179357287
271	0.7177402462
272	0.7175115871
273	0.7171639528
274	0.7170029259
275	0.7167981546
276	0.716628808
277	0.7164403674
278	0.7162481156
279	0.7160584179
280	0.7159627061
281	0.7157319192
282	0.7154633173
283	0.7152774289
284	0.7151014479
285	0.7149252531
286	0.7146642677
287	0.7145181089
288	0.714392475
289	0.7141552525
290	0.7139412811
291	0.7137870655
292	0.7136064356
293	0.7134722582
294	0.7131606121
295	0.7128542527
296	0.71267797
297	0.7124289159
298	0.7122370648
299	0.7119544846
300	0.7118143389
301	0.7116004614
302	0.7114345772
303	0.7113119155
304	0.7111996098
305	0.7109956814
306	0.7108222618
307	0.7106513823
308	0.7104421897
309	0.710305326
310	0.7100662971
311	0.709692339
312	0.7095645292
313	0.7093699548
314	0.7091770549
315	0.7090040071
316	0.7088707647
317	0.7086934623
318	0.7084434445
319	0.7083210167
320	0.7081556945
321	0.7078776567
322	0.7077127325
323	0.7075097986
324	0.7073810313
325	0.7071528215
326	0.7070253691
327	0.706836823
328	0.7066714177
329	0.706387566
330	0.7060591498
331	0.7058513544
332	0.7056648612
333	0.7053585835
334	0.7051789844
335	0.7050089372
336	0.7048971377
337	0.7046272734
338	0.7045193094
339	0.7043576208
340	0.7042008325
341	0.7039703382
342	0.7037433817
343	0.7034914719
344	0.7033438358
345	0.7032122497
346	0.7030193636
347	0.702772711
348	0.7025979846
349	0.7024277338
350	0.7023228897
351	0.7021714337
352	0.7020351887
353	0.7018757754
354	0.7017545302
355	0.7015622096
356	0.7014180727
357	0.7013088319
358	0.7011011211
359	0.7009257504
360	0.7006780395
361	0.7005075242
362	0.7004034393
363	0.700242207
364	0.6999875398
365	0.6998321801
366	0.699608557
367	0.6994386677
368	0.6992671191
369	0.6990854939
370	0.6987874126
371	0.6986360307
372	0.6985118992
373	0.6983490538
374	0.6981792915
375	0.6979901351
376	0.6978328385
377	0.6976786219
378	0.6975882622
379	0.6973702182
380	0.6972507676
381	0.6971516501
382	0.697014434
383	0.6967620554
384	0.696535857
385	0.6964203766
386	0.6961983582
387	0.6960627209
388	0.6958938569
389	0.6957627508
390	0.6956395267
391	0.6953936058
392	0.6952324011
393	0.6950605328
394	0.6948812295
395	0.6947341631
396	0.6945349793
397	0.6943893861
398	0.6943032404
399	0.6941132347
400	0.6940220855
401	0.6938137967
402	0.693550607
403	0.6934595625
404	0.69323998
405	0.6930862866
406	0.6929913681
407	0.69267069
408	0.6925642794
409	0.6924148382
410	0.6922781048
411	0.6920596161
412	0.6919413538
413	0.6917223655
414	0.691592421
415	0.6913781739
416	0.6912720381
417	0.691036157
418	0.6908817337
419	0.690678512
420	0.6904827127
421	0.6903541274
422	0.6902141669
423	0.6899587768
424	0.6898062078
425	0.6896775297
426	0.6895455974
427	0.6893504231
428	0.6892035669
429	0.6890015089
430	0.6888197545
431	0.6887134954
432	0.6885303008
433	0.688357705
434	0.6882588383
435	0.6881532497
436	0.6880415776
437	0.6879090799
438	0.6877820303
439	0.6876396195
440	0.6874691445
441	0.6873581971
442	0.6871836162
443	0.6871119212
444	0.6869851887
445	0.6866774883
446	0.6865457326
447	0.6864072297
448	0.6862494206
449	0.6860813693
450	0.685897645
451	0.685743684
452	0.6855778677
453	0.6854829736
454	0.6852844883
455	0.6850191456
456	0.6849189381
457	0.684688315
458	0.6845434501
459	0.6844209531
460	0.6842664403
461	0.6841772174
462	0.6841135418
463	0.6840049644
464	0.6837931265
465	0.6836303378
466	0.6834559732
467	0.6832130762
468	0.6831150824
469	0.682969855
470	0.6827927864
471	0.6826451861
472	0.6825256933
473	0.6823899522
474	0.682255932
475	0.6821194265
476	0.681958177
477	0.681835069
478	0.6816810668
479	0.6815454555
480	0.6814305752
481	0.68128598
482	0.6811624044
483	0.6810287789
484	0.6809046111
485	0.6808248083
486	0.6807401216
487	0.6805629903
488	0.6804254299
489	0.6802991552
490	0489	0.685257491	0490	0.68509492	0.491	0.6849493	0.6492	0.6847494	0.6493	0.6845491306
494	0.6844381271
495	0.6842926856
496	0.6841631919
497	0.6839685761
498	0.6838164231
499	0.6836668513
500	0.6835281489
501	0.6833222553
502	0.6831445059
503	0.6830339449
504	0.6829222742
505	0.6828265937
506	0.6827112175
507	0.6825897637
508	0.6824353026
509	0.6823085868
510	0.6822176547
511	0.6821213776
512	0.6819191985
513	0.6817331268
514	0.6815402392
515	0.6814104238
516	0.6812387059
517	0.6810986098
518	0.6809204581
519	0.6807899103
