iter	Passed	Remaining
0	548	547859
1	943	471041
2	1543	512920
3	1866	464715
4	2095	417061
5	2327	385588
6	2598	368589
7	2829	350842
8	3041	334916
9	3299	326675
10	3531	317550
11	3773	310661
12	4002	303872
13	4212	296648
14	4389	288269
15	4554	280128
16	4724	273171
17	4908	267775
18	5085	262572
19	5247	257140
20	5439	253563
21	5605	249192
22	5790	245975
23	5997	243882
24	6186	241280
25	6336	237374
26	6508	234534
27	6655	231032
28	6794	227487
29	6929	9444	3030	7130	9667	3031	7331	9891	2932	7432	10055	233	76233	10252	34	779834	1045235	7993	35	10661	285485
36	10878	283134
37	11071	280274
38	11262	277529
39	11453	274883
40	11634	272134
41	11845	270184
42	12066	268554443	12300	267264544	12574	266851
45	12810	265679
46	13027	264161
47	13235	262509
48	13435	260755
49	13604	258483
50	13780	256416
51	13970	254690
52	14181	253354	53	14414	252527
54	14653	251756	55	14877	250757	56	15066	249258	57	15281	248159	58	15547	247960	59	15795	247461	60	15998	246262	61	16196	245063	62	16431	244364	63	16715	244465	64	16935	243666	65	17175	243067	66	17398	242268	67	17579	240969	68	17783	239970	69	17995	239071	70	18194	238072	71	18386	236979
72	18563	235734
73	18747	234596
74	18892	233005
75	19080	231984
76	19272	231018
77	19438	229768
78	19623	228773
79	19791	227607
80	19974	226620
81	20139	225469
82	20308	224374
83	20483	223371
84	20660	222408
85	20809	221157
86	20974	220107
87	21148	219176
88	21295	217981
89	21470	217090
90	21652	216283
91	21848	215631
92	21983	214401
93	22175	213736
94	22322	212648
95	22527	212130
96	22750	211793
97	22909	210860
98	23084	210095
99	23270	209436
100	23479	208987
101	23700	208661
102	23935	208447
103	24181	208331
104	24411	208075
105	24643	207839
106	24886	207696
107	25107	207367
108	25340	207138
109	25541	206653
110	25771	206403
111	25979	205981
112	26169	205416
113	26354	204823
114	26548	204311
115	26763	203958
116	26946	203363
117	27110	202641
118	27281	201976
119	27457	201355
120	27603	200523
121	27767	199837
122	27949	199280
123	28096	198488
124	28269	197883
125	28453	197369
126	28608	196654
127	28774	196028
128	28915	195236
129	29083	194638
130	29269	194164
131	29456	193701
132	29619	193081
133	29819	192711
134	29981	192104
135	30206	191900
136	30404	191528
137	30622	191277
138	30800	190782
139	30951	1901214140	31103	1894914141	31265	1889114142	31432	1883714143	31837	1892514144	32091	1892214145	32387	1894414146	32627	1893214147	32819	1889314148	33034	188672
149	33216	1882215150	33473	188204
151	33652	1877415152	33858	1874315153	34107	1873615154	34360	187322
155	34544	186894
156	34783	186768
157	34946	186233
158	35143	1858816159	35376	185728
160	35554	185283
161	35762	1849916162	35965	1846816163	36190	1844816164	36388	1841416165	36605	1839016166	36796	1835416167	36971	1830916168	37148	1826617169	37337	1822917170	37549	182039
171	37814	182038
172	38098	182123
173	38375	182173
174	38594	1819417175	38838	181835
176	39097	181793
177	39291	1814417178	39507	1812018179	39699	1808518180	39860	180365
181	40067	180082
182	40251	179701
183	40454	179408
184	40636	179018
185	40840	178732
186	41057	178499
187	41203	1779618188	41450	177866
189	41669	177644
190	41893	177443
191	42085	177108
192	42307	176904
193	42553	176794
194	42755	176501
195	42985	1763219196	43210	1761319197	43434	1759219198	43661	175741
199	43851	175407
200	44081	175230
201	44293	174981
202	44548	174900
203	44781	174733
204	44984	174450
205	45175	174121
206	45373	173823
207	45586	173578
208	45788	173294
209	46033	173173
210	46260	172981
211	46454	172669
212	46662	172410
213	46865	172132
214	47031	171721
215	47272	171580
216	47485	171339
217	47688	171065
218	47898	170814
219	48154	170731
220	48349	170427
221	48549	170143
222	48759	169892
223	48964	169628
224	49154	169310
225	49359	169045
226	49563	168777
227	49740	168421
228	49975	168258
229	50186	168017
230	50392	167757
231	50615	167554
232	50842	167366
233	51054	167127
234	51250	166837
235	51451	166563
236	51632	166225
237	51824	165924
238	52036	165689
239	52256	165478
240	52449	165182
241	52654	164925
242	52850	164639
243	53076	164450
244	53274	164172
245	53499	163979
246	53684	163662
247	53882	163386
248	54089	163138
249	54283	162849
250	54515	162676
251	54697	162356
252	54898	162092
253	55108	161853
254	55299	161561
255	55474	161222
256	55683	160984
257	55865	160668
258	56092	160481
259	56296	160227
260	56508	159998
261	56706	159730
262	56933	159543
263	57163	159364
264	57363	159102
265	57563	158840
266	57759	158567
267	57993	158399
268	58199	158154
269	58375	157831
270	58572	157562
271	58740	157217
272	58915	156893
273	59109	156619
274	59408	156623
275	59637	156439
276	59827	156155
277	60014	155864
278	60226	155638
279	60473	155502
280	60684	155275
281	61036	155405
282	61324	155371
283	61708	155575
284	61974	155480
285	62265	155446
286	62505	155283
287	62758	155151
288	62969	154918
289	63278	154924
290	63841	155546
291	64256	155799
292	64635	155964
293	65088	156301
294	65431	156370
295	65783	156459
296	66124	156516
297	66465	156573
298	66776	156555
299	67061	156475
300	67358	156423
301	67635	156323
302	67907	156209
303	68183	156103
304	68435	155944
305	68750	155925
306	69050	155868
307	69399	155923
308	69702	155871
309	70012	155833
310	70347	155849
311	70719	155946
312	70983	155800
313	71327	155829
314	71593	155688
315	71919	155674
316	72191	155540
317	72472	155427
318	72741	155288
319	73060	155253
320	73406	155274
321	73699	155180
322	74056	155220
323	74385	155199
324	74691	155128
325	74969	154998
326	75280	154935
327	75572	154830
328	75882	154762
329	76236	154784
330	76534	154687
331	76808	154543
332	77085	154402
333	77394	154325
334	77741	154322
335	78127	154393
336	78442	154323
337	78797	154331
338	79098	154230
339	79405	154139
340	79709	154042
341	80016	153950
342	80324	153858
343	80613	153728
344	80936	153662
345	81258	153592
346	81577	153515
347	81892	153431
348	82222	153372
349	82556	153319
350	82856	153201
351	83152	153076
352	83506	153055
353	83799	152921
354	84114	152827
355	84458	152783
356	84736	152620
357	85023	152472
358	85317	152336
359	85575	152134
360	85868	151993
361	86225	151966
362	86512	151813
363	86793	151649
364	87069	151477
365	87344	151301
366	87618	151124
367	87885	150933
368	88196	150818
369	88466	150632
370	88815	150579
371	89135	150476
372	89463	150385
373	89742	150209
374	90017	150029
375	90351	149945
376	90651	149803
377	90963	149679
378	91302	149601
379	91694	149606
380	92000	149469
381	92295	149316
382	92569	149126
383	92915	149052
384	93200	148878
385	93492	148715
386	93824	148616
387	94085	148402
388	94405	148282
389	94683	148094
390	94989	147950
391	95293	147802
392	95574	147617
393	95920	147531
394	96228	147388
395	96561	147281
396	96862	147124
397	97201	147022
398	97432	146759
399	97819	146729
400	98113	146558
401	98419	146405
402	98769	146316
403	99002	146052
404	99296	145879
405	99543	145637
406	99789	145393
407	100083	145219
408	100317	144958
409	100591	144752
410	100857	144538
411	101107	144299
412	101358	144062
413	101629	143852
414	101898	143639
415	102157	143413
416	102404	143169
417	102658	142935
418	102972	142784
419	103250	142583
420	103544	142404
421	103793	142162
422	104056	141940
423	104366	141780
424	104635	141566
425	104924	141377
426	105214	141188
427	105546	141057
428	105842	140877
429	106177	140747
430	106498	140597
431	106792	140412
432	107096	140238
433	107419	140091
434	107697	139883
435	107974	139673
436	108280	139501
437	108588	139330
438	108916	139185
439	109200	138981
440	109443	138728
441	109746	138548
442	110026	138339
443	110256	138068
444	110546	137872
445	110841	137682
446	111132	137485
447	111405	137266
448	111715	137093
449	112004	136894
450	112312	136717
451	112660	136587
452	112943	136380
453	113263	136216
454	113561	136024
455	113884	135862
456	114167	135652
