CSAT Score,cleaned_remarks
5,good
5,shopzilla app coustomer care services good service provided time
1,bad
3,something
5,good
5,good
5,godd job
1,issue not resolved pathetic service
5,excellent
4,good
5,give proper guidance customer
1,please highlight products not returned
1,3000 rupees loss
5,please sale destroy product cheep product price
3,disappointed shopzilla issue not resolved customer care executive polite enough though not able resolve issue appalled utter lack responsibility accountability shopzilla providing tracking services
5,no comments
5,good
5,customer service number plz available
5,good
5,respectful
5,nice good
3,even guarantee period also contact supplier reduce duration resolve issue
5,thanks
5,try deliver product time
5,nice conversation good give rating
5,keep shopzilla
5,happy
1,bad agent
2,ok
5,take action fast thank u
5,good talk
5,way talked quite appropriate nice well shopzilla hire kind executive customer support service bless dear
4,please pack products actually customers ordered otherwise time us shopzilla
5,thanks
5,
5,mr helpful
5,thank much sir solving issue bhai please highlight concern bhai sorry late feedback bhai please call
5,good
5,thankyou
1,selected english language preference goes hindi channel customer service executive understand english properly
5,nice
5,please give chance local shop company using name shopzilla giving worst products sell products like myntra myntra always send products
5,thank valuable time support
5,good night
5,no
5,thank much
1,no
5,please provide customer support regional language like bengali
1,delete shopzilla account
5,next time better
1,poor service support
5,thanks understanding problem helping
5,nk
1,noise watch not restart
1,no response ordervery bad costumer service
1,small product take much time order ariving 2 aug suddanly change 5 aug
1,reten
4,nice
5,good
1,call disconnect not provide information proper
4,issue not resolved yesterday not good thing customer issue not solved quickly shopping shopping app issue solved quickly
5,everything good
1,wrong product received
5,good communication skills
5,thanks
1,worst shopzilla customer service shopzilla cancel order without ack customer also no compensation customer satisfiaction makes us move shopzilla
5,waiting second item today today evening flight please solve today thanks
5,nothing say thanks solving issue
5,shopzilla customer service executive helpful appreciate good future ahead company
5,no
5,thankyou much
5,nyc talkng
5,thanks
1,played around order without taking customers concern plan resolution pick products brain check customers availability also no courtesy atleast reach customer apologize mess created shopzilla due systems failure order placed 8 july 19 july damaged product delivered still awaiting resolution refund
5,excellent
4,nice
5,good
4,bot annoying
5,ok
5,faith coustomar
1,one side nit warning
1,put call hold sometime disconnected without information
5,please solve queries
1,no
5,good need switch job ask contact
4,item delay delivery date
1,10 days order not supply no payment refund
5,best
1,idiotic customer care executives no solution end since april 28 th call disconnected executive end
5,issue paylater bill not submited talk customer suppprt nd issue solve min thnx shopzilla
4,problems concern good understanding solved
3,problem not yet solved
1,ordered sleeper delivered 22nd july like quality refunded last date pick product refund 25th july product get picked till 31st july consoled wait 24 hours 5 days talking costumer care even no one came pickup felt sad seeing return policy shopzilla canceled last night first time happened
1,awful customer support ever
5,good job
5,happy
5,happy costumer support
4,u cal display ur customers support number4 help customers problem no display customers care number
1,delivery product take responsibility items
5,interaction awesome policy bad unblock account pay later
3,reduce time
3,kindly resolve server related issues help real time data
5,good
5,make easy reach executive
5,excellent service
1,poor customer service
4,happy
5,good working
5,make calling accessible easily approachable
5,everything ok
1,peoblem not solve
4,good
5,good
5,good nice bro
5,good support
4,good
5,bist gadnig
5,shopzilla team good team
5,good
1,failure word shopzilla
